SN:3K430000001911 BD:Sep 25 2018 VC:499143b MD5:6a0dee4b41d0e9361e609a0d5f97aa68
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC, Wind Speed (m/s),Azimuth (deg),Elevation (deg),Speed-of-Sound (m/s),Temperature (C)
09/14/2020 13:47:31.801, 09/14/2020 13:47:31.743, 2.51138e+0, 1.21764e-2, 4.87421e+2, 4.72850e+0, 1.51929e+4, 3.95213e+2, 2.55012e+0, 1.13419e-2, 4.94939e+2, 4.60281e+0, 5.04108e+2, 1.21758e-2, 2.95826e+1, 3.10470e-2, 3.15117e+1, 2.07227e-2, 3.49534e+0, 6.88726e-4, 2.31975e+0, 2.86968e-4, -1.72939e+0, 0.00000e+0, -7.01695e+0, 8.81435e-6, 5.16707e+0, 3.61906e-4, 9.69432e+1, 6.78998e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:47:41.747, 09/14/2020 13:47:41.694, 2.48662e+0, 2.81245e-3, 4.75765e+2, 2.45212e+0, 1.62308e+4, 2.60517e+2, 2.52765e+0, 2.50816e-3, 4.83614e+2, 2.36539e+0, 5.04095e+2, 1.07749e-2, 2.96029e+1, 1.61270e-2, 3.15844e+1, 2.11246e-2, 3.49534e+0, 3.73304e-4, 2.31930e+0, 2.27645e-4, -1.72939e+0, 0.00000e+0, -7.01694e+0, 6.00459e-6, 5.16825e+0, 3.30356e-4, 9.69654e+1, 6.19804e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:47:51.704, 09/14/2020 13:47:51.646, 2.50478e+0, 7.93588e-3, 4.71941e+2, 1.19866e+0, 1.68857e+4, 1.80257e+2, 2.54780e+0, 8.53319e-3, 4.80047e+2, 1.14019e+0, 5.04069e+2, 3.10250e-2, 2.96421e+1, 3.85032e-2, 3.16587e+1, 2.50613e-2, 3.49480e+0, 5.59488e-4, 2.31938e+0, 2.52416e-4, -1.72939e+0, 0.00000e+0, -7.01693e+0, 3.93698e-6, 5.16935e+0, 4.03879e-4, 9.69859e+1, 7.57746e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:01.653, 09/14/2020 13:48:01.592, 2.53710e+0, 1.68649e-2, 4.69774e+2, 9.13114e-1, 1.75759e+4, 3.03682e+2, 2.58249e+0, 1.78681e-2, 4.78178e+2, 1.01099e+0, 5.04091e+2, 8.54899e-2, 2.96388e+1, 1.50386e-2, 3.17281e+1, 1.89840e-2, 3.49518e+0, 6.65454e-4, 2.31955e+0, 2.67296e-4, -1.72939e+0, 0.00000e+0, -7.01693e+0, 1.20518e-5, 5.17057e+0, 3.37794e-4, 9.70088e+1, 6.33760e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:11.599, 09/14/2020 13:48:11.544, 2.32847e+0, 1.35510e-1, 4.25535e+2, 2.24327e+1, 1.91361e+4, 5.67349e+2, 2.37384e+0, 1.36968e-1, 4.33827e+2, 2.26430e+1, 5.04099e+2, 4.24905e-3, 2.96499e+1, 1.08472e-2, 3.17998e+1, 2.25875e-2, 3.49613e+0, 6.82090e-4, 2.32009e+0, 4.93073e-4, -1.72939e+0, 0.00000e+0, -7.01682e+0, 6.33243e-5, 5.17182e+0, 3.68283e-4, 9.70323e+1, 6.90963e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:21.551, 09/14/2020 13:48:21.495, 2.00284e+0, 6.40973e-2, 3.78593e+2, 8.73084e+0, 1.77087e+4, 9.52499e+2, 2.03900e+0, 6.72133e-2, 3.85427e+2, 9.25827e+0, 5.04097e+2, 2.82713e-2, 2.96929e+1, 2.50459e-2, 3.18725e+1, 2.46489e-2, 3.49591e+0, 6.78386e-4, 2.32005e+0, 1.28850e-4, -1.72939e+0, 0.00000e+0, -7.01649e+0, 1.15745e-4, 5.17298e+0, 4.62601e-4, 9.70540e+1, 8.67919e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:31.498, 09/14/2020 13:48:31.440, 1.85815e+0, 2.72161e-2, 3.58340e+2, 4.30869e+0, 1.44416e+4, 9.38038e+2, 1.88541e+0, 2.94145e-2, 3.63595e+2, 4.71776e+0, 5.04118e+2, 1.20614e-2, 2.97208e+1, 1.65307e-2, 3.19500e+1, 2.13985e-2, 3.49603e+0, 2.51583e-4, 2.31993e+0, 3.51379e-4, -1.72939e+0, 0.00000e+0, -7.01620e+0, 7.95504e-5, 5.17426e+0, 3.75023e-4, 9.70781e+1, 7.03607e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:41.441, 09/14/2020 13:48:41.386, 1.79868e+0, 9.28947e-3, 3.49540e+2, 1.39366e+0, 1.18687e+4, 7.15417e+2, 1.82029e+0, 1.07083e-2, 3.53740e+2, 1.66508e+0, 5.04114e+2, 7.16289e-3, 2.97667e+1, 1.90162e-2, 3.20207e+1, 2.12948e-2, 3.49652e+0, 7.06566e-4, 2.32003e+0, 3.28100e-4, -1.72939e+0, 0.00000e+0, -7.01594e+0, 6.65765e-5, 5.17546e+0, 3.45357e-4, 9.71006e+1, 6.47949e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:48:51.388, 09/14/2020 13:48:51.331, 1.78050e+0, 2.70993e-3, 3.46547e+2, 4.93158e-1, 9.85714e+3, 4.84265e+2, 1.79823e+0, 3.60695e-3, 3.49998e+2, 6.63718e-1, 5.04122e+2, 1.03139e-2, 2.98086e+1, 1.67416e-2, 3.20904e+1, 1.93925e-2, 3.49728e+0, 3.28500e-4, 2.31997e+0, 3.09174e-4, -1.72939e+0, 0.00000e+0, -7.01572e+0, 7.56691e-5, 5.17669e+0, 3.75891e-4, 9.71237e+1, 7.05236e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
09/14/2020 13:49:01.328, 09/14/2020 13:49:01.276, 1.77652e+0, 3.06069e-4, 3.45513e+2, 2.19195e-1, 8.52660e+3, 3.30333e+2, 1.79180e+0, 6.51166e-4, 3.48485e+2, 3.10699e-1, 5.04122e+2, 1.16514e-2, 2.98405e+1, 2.08112e-2, 3.21613e+1, 2.28509e-2, 3.49732e+0, 6.39344e-4, 2.32002e+0, 2.48820e-4, -1.72939e+0, 0.00000e+0, -7.01555e+0, 3.79365e-5, 5.17791e+0, 3.88608e-4, 9.71465e+1, 7.29096e-3, 2.00000e+1, 0.00000e+0, 2.00000e+1, 0.00000e+0, 3, -1, Disabled, 0,0,0,0,0
